OBJECTID,DATE,Allegany,Anne_Arundel,Baltimore,Baltimore_City,Calvert,Caroline,Carroll,Cecil,Charles,Dorchester,Frederick,Garrett,Harford,Howard,Kent,Montgomery,Prince_Georges,Queen_Annes,Somerset,St_Marys,Talbot,Washington,Wicomico,Worcester,Unknown
1,04/13/2020 06:00:00 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,04/14/2020 06:00:00 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,04/15/2020 06:00:00 AM,0,5,5,2,0,0,2,0,0,0,7,0,3,1,0,14,11,0,0,0,0,0,0,0,14
4,04/16/2020 06:00:00 AM,0,6,6,4,0,0,2,0,0,0,7,0,4,1,0,14,10,0,0,0,0,0,0,0,13
5,04/17/2020 06:00:00 AM,0,6,7,4,0,0,2,0,0,0,7,0,6,1,0,15,10,0,0,0,0,0,0,0,11
6,04/18/2020 06:00:00 AM,0,7,7,3,0,0,2,0,0,0,8,0,5,2,0,16,10,0,0,0,0,0,0,0,11
7,04/19/2020 06:00:00 AM,0,6,6,5,0,0,1,0,0,0,5,0,5,1,0,16,7,0,0,0,0,0,0,0,10
8,04/20/2020 06:00:00 AM,0,6,6,5,0,0,1,0,1,0,5,0,5,1,0,17,9,0,0,0,0,0,0,0,10
9,04/21/2020 06:00:00 AM,0,7,7,5,0,0,0,0,1,0,5,0,6,1,0,17,7,0,0,0,0,0,0,0,12
10,04/22/2020 06:00:00 AM,0,7,9,6,0,0,0,0,1,0,6,0,6,1,0,16,7,0,0,0,0,0,0,0,8
11,04/23/2020 06:00:00 AM,0,7,9,6,0,0,0,0,1,0,6,0,6,1,0,18,9,0,0,0,0,0,0,0,5
12,04/24/2020 06:00:00 AM,0,7,8,6,0,0,0,0,1,0,6,0,6,1,0,19,11,0,0,0,0,0,0,0,9
13,04/25/2020 06:00:00 AM,0,8,10,6,0,0,0,0,1,0,6,0,7,1,0,19,11,0,0,0,0,0,0,0,9
14,04/26/2020 06:00:00 AM,0,8,10,6,0,0,0,0,1,0,6,0,7,1,0,20,11,0,0,0,0,0,0,0,13
15,04/27/2020 06:00:00 AM,0,8,11,6,0,0,0,0,1,0,6,0,7,1,0,20,11,0,0,0,0,0,0,0,16
16,04/28/2020 06:00:00 AM,0,8,13,7,0,0,0,0,1,0,6,0,7,1,0,20,11,0,0,0,0,0,0,0,13
17,04/29/2020 06:00:00 AM,0,8,14,7,0,0,0,0,1,0,6,0,7,1,0,24,11,0,0,1,0,0,0,0,13
18,04/30/2020 06:00:00 AM,0,8,13,8,0,0,0,0,1,0,7,0,7,1,0,26,11,0,0,1,0,0,0,0,10
19,05/01/2020 06:00:00 AM,0,8,13,9,0,0,0,0,2,0,7,0,6,1,0,26,12,0,0,0,0,0,0,1,9
20,05/02/2020 06:00:00 AM,0,8,14,9,1,0,0,0,2,0,7,0,6,1,0,26,12,0,0,0,0,0,0,1,8
21,05/03/2020 06:00:00 AM,0,8,14,9,1,0,0,0,3,0,7,0,6,1,0,27,12,0,0,0,0,0,0,1,10
22,05/04/2020 06:00:00 AM,0,8,15,9,1,0,0,0,3,0,7,0,6,1,0,27,13,0,0,0,0,0,0,1,10
23,05/05/2020 06:00:00 AM,0,9,15,9,1,0,0,0,3,0,7,0,4,1,0,28,15,0,0,0,0,0,0,1,7
24,05/06/2020 06:00:00 AM,0,9,14,9,1,0,0,0,3,0,7,0,4,1,0,29,15,0,0,0,0,0,0,1,6
25,05/07/2020 06:00:00 AM,0,9,14,9,1,0,0,0,3,0,7,0,4,1,0,30,15,0,0,0,0,0,0,1,8
26,05/08/2020 06:00:00 AM,0,10,15,9,1,0,0,0,3,0,6,0,4,1,0,31,16,0,0,0,0,0,0,1,10
