GEOID,county,variable,estimate,moe,fullyvaccinatedcumulative,Pop_Fully_Vaccinated
24001,Allegany,population,68684,NA,36198,52.70223050492109
24003,Anne Arundel,population,584064,NA,427919,73.26577224413762
24005,Baltimore,population,850702,NA,613767,72.14829634819243
24009,Calvert,population,92515,NA,65802,71.12576338972059
24011,Caroline,population,33234,NA,18852,56.725040621050724
24013,Carroll,population,172148,NA,121035,70.30868787322537
24015,Cecil,population,103370,NA,55561,53.74963722550062
24017,Charles,population,165209,NA,113055,68.4315019157552
24019,Dorchester,population,32486,NA,19067,58.69297543557225
24021,Frederick,population,267498,NA,207397,77.53216846481095
24023,Garrett,population,28955,NA,14074,48.60645829735797
24025,Harford,population,259162,NA,178406,68.83956752919023
24027,Howard,population,329248,NA,285721,86.77987413742832
24029,Kent,population,19335,NA,12697,65.66847685544349
24031,Montgomery,population,1057201,NA,923861,87.38745044698217
24033,Prince Georges,population,957767,NA,672335,70.19817972429621
24035,Queen Annes,population,49702,NA,34604,69.62295279868013
24037,St. Marys,population,113209,NA,71707,63.3403704652457
24039,Somerset,population,24834,NA,12766,51.40533140049931
24041,Talbot,population,37510,NA,27613,73.61503599040256
24043,Washington,population,153956,NA,88639,57.574241991218265
24045,Wicomico,population,103223,NA,58260,56.44090948722669
24047,Worcester,population,52322,NA,37514,71.69832957455755
24510,Baltimore City,population,592211,NA,386069,65.19112275861137
